,m,r,3,3_alpha
0,0.0,0.0,0.30400000000000005,0.5
1,0.0,1.0,0.2975,0.5
2,0.0,2.0,0.30200000000000005,0.5
3,0.0,3.0,0.30500000000000005,0.5
4,0.0,4.0,0.29800000000000004,0.5
5,0.0,5.0,0.30500000000000005,0.5
6,0.0,6.0,0.3035,0.5
7,0.0,7.0,0.29800000000000004,0.5
8,0.0,8.0,0.3075,0.5
9,0.0,9.0,0.2895,0.5
10,1.0,0.0,0.3085,0.9680000000000001
11,1.0,1.0,0.279,0.9680000000000001
12,1.0,2.0,0.30200000000000005,0.9680000000000001
13,1.0,3.0,0.2945,0.9680000000000001
14,1.0,4.0,0.29900000000000004,0.9680000000000001
15,1.0,5.0,0.2865,0.9680000000000001
16,1.0,6.0,0.3035,0.9680000000000001
17,1.0,7.0,0.30000000000000004,0.9680000000000001
18,1.0,8.0,0.3055,0.9680000000000001
19,1.0,9.0,0.2955,0.9680000000000001
20,2.0,0.0,0.2875,0.933
21,2.0,1.0,0.281,0.933
22,2.0,2.0,0.29300000000000004,0.933
23,2.0,3.0,0.2965,0.933
24,2.0,4.0,0.28800000000000003,0.933
25,2.0,5.0,0.2955,0.933
26,2.0,6.0,0.27749999999999997,0.933
27,2.0,7.0,0.29800000000000004,0.933
28,2.0,8.0,0.27849999999999997,0.933
29,2.0,9.0,0.28400000000000003,0.933
30,3.0,0.0,0.29100000000000004,0.9
31,3.0,1.0,0.28,0.9
32,3.0,2.0,0.281,0.9
33,3.0,3.0,0.26949999999999996,0.9
34,3.0,4.0,0.2915,0.9
35,3.0,5.0,0.29000000000000004,0.9
36,3.0,6.0,0.279,0.9
37,3.0,7.0,0.2825,0.9
38,3.0,8.0,0.2815,0.9
39,3.0,9.0,0.28500000000000003,0.9
40,4.0,0.0,0.28800000000000003,0.915
41,4.0,1.0,0.27449999999999997,0.915
42,4.0,2.0,0.27649999999999997,0.915
43,4.0,3.0,0.28600000000000003,0.915
44,4.0,4.0,0.2895,0.915
45,4.0,5.0,0.26849999999999996,0.915
46,4.0,6.0,0.2835,0.915
47,4.0,7.0,0.2895,0.915
48,4.0,8.0,0.2855,0.915
49,4.0,9.0,0.29100000000000004,0.915
50,5.0,0.0,0.2835,0.908
51,5.0,1.0,0.28700000000000003,0.908
52,5.0,2.0,0.267,0.908
53,5.0,3.0,0.2815,0.908
54,5.0,4.0,0.271,0.908
55,5.0,5.0,0.27849999999999997,0.908
56,5.0,6.0,0.28200000000000003,0.908
57,5.0,7.0,0.2845,0.908
58,5.0,8.0,0.29000000000000004,0.908
59,5.0,9.0,0.27949999999999997,0.908
60,10.0,0.0,0.28049999999999997,0.937
61,10.0,1.0,0.28700000000000003,0.937
62,10.0,2.0,0.2895,0.937
63,10.0,3.0,0.276,0.937
64,10.0,4.0,0.27749999999999997,0.937
65,10.0,5.0,0.27949999999999997,0.937
66,10.0,6.0,0.28300000000000003,0.937
67,10.0,7.0,0.28400000000000003,0.937
68,10.0,8.0,0.279,0.937
69,10.0,9.0,0.274,0.937
70,20.0,0.0,0.28049999999999997,0.901
71,20.0,1.0,0.2825,0.901
72,20.0,2.0,0.2895,0.901
73,20.0,3.0,0.2895,0.901
74,20.0,4.0,0.2845,0.901
75,20.0,5.0,0.28300000000000003,0.901
76,20.0,6.0,0.277,0.901
77,20.0,7.0,0.29400000000000004,0.901
78,20.0,8.0,0.281,0.901
79,20.0,9.0,0.276,0.901
